Name:lives|IValue:7;
Name:moveSpeed|FValue:4;
Name:test|BValue:1;
Name:testString|SValue:Bien joué;
Name:buffedMoveSpeed|Value:6;
Name:speedBoostDuration|Value:5;
Name:rotationSpeed|Value:5;
Name:maxAmmo|Value:10;
Name:startAmmo|Value:5;
Name:attackFrequency|Value:0.25;
Name:projectileSpeed|Value:7.5;
Name:projectileLifetime|Value:3;
Name:ammoLootProbability|Value:5;
Name:shieldLootProbability|Value:2;
Name:speedBoostProbability|Value:3;
Name:timeBetweenLoots|Value:5;
Name:roundPause|Value:2;
Name:timeSlow|Value:0.25;
Name:boundsTeleportSecurityDistance|Value:0.25;
